farsi,exactr,exactf,chapter
pesaramu,"двоюродный брат, сын брата отца",پسرمو,1
pesardāyi,"двоюродный брат, сын сестры матери",پسردایی,1
pesarxāle,"двоюродный брат, сын брата матери",پسرخاله,1
pezešk,врач (پ___),پزشک,1
polis,полицейский,پلیس,1
qadkutāh,маленький,قدکوتاه,1
rādiyo,радио,رادیو,1
rang,цвет,رنگ,1
rāzi,довольный,راضی,1
Ruz-e xub-i dāšte bāšid! ,Хорошего вам дня!,روز خوبی داشته باشید!,1
šab be xeyr,спокойной ночи,شب به خیر,1
sabz,зеленый,سبز,1
salām,привет,سلام,1
sedā,"голос, звук",صدا,1
širin,"сладкий, благозвучный",شیرین,1
sobh be xeyr,доброе утро,صبح به خیر,1
šomā,вы,شما,1
šoql,"занятие, профессия",شغل,1
tešne,жаждущий,تشنه,1
to,ты,تو,1
u,он,او,1
va,и,و,1
xāhar,сестра,خواهر,1
xāle,тётя (по матери),خاله,1
xāne,дом,خانه,1
xayyāt,портной,خیاط,1
xayyāti,ателье; мастерская по пошиву,خیاطی,1
xeyl-i,очень; много,خیل‌ای,1
Xodā hāfez,до свидания!,خدا حافظ,1
Xodā negahdār,до свидания!,خودا نگهدار,1
xošbaxt-am,я рад,خوشبخت‌ام,1
xošhāl,довольный,خوشحال,1
xub,"хороший, хорошо",خوب,1
zabān,язык,زبان,1
zohr be xeyr,добрый день (после полудня),ظهر به خیر,1
ābi,голубой,آبی,2
Afqānestān,Афганистан,افغانستان,2
ahl,житель,اهل,2
ājil,"лакомства, сласти",آجیل,2
akkās,фотограф,عکاس,2
akkāsi,фотостудия,عکاسی,2
Ālmān,германия,آلمان,2
ālmāni,немецкий,آلمانی,2
Āmrikā,америка,آمریکا,2
āqā,господин,آقا,2
Arāq,ирак,عراق,2
Armanestān,армения,ارمنستان,2
Āsiyā,Азия,آسیا,2
āteliye,мастерская,آتلی,2
az,"из, от",از,2
Āzarbāyjān,азербайджан,آذربایجان,2
bā,с,با,2
bā ham,вместе,با هم,2
barā,для,برا,2
bastani,мороженое,بستنی,2
bāz,"открытый, снова",باز,2
bebaxšid,извините,ببخشید,2
bist,двадцать,بیست,2
boluz,блузка,بلوز,2
bozorg,большой,بزرگ,2
camanzani,косьба,چمنزنی,2
Cin,Китай,چین,2
cini,"китайский, китаец, фарфор",چینی,2
dandānpezešk,стоматолог,دندانپزشک,2
daryā,море,دریا,2
dāštan (dār),иметь,داشتن,2
do,два,دو,2
dokme,кнопка,دکمه,2
dušize,девушка,دوشیزه,2
dust,друг,دوست,2
dust dāštan (dār),любить,دوست داشتن,2
emruz,сегодня,امروز,2
emšab,сегодня вечером,امشب,2
Engelestān,англия,انگلستان,2
engelisi,английский,انگلیسی,2
eynak,очки,عینک,2
farānsavi,француз; французский,فرانسوی,2
Farānse,Франция,فرانسه,2
fardā,завтра,فردا,2
film,фильм,فیلم,2
forsat,возможность; шанс,فرصت,2
gerān,дорогой; ценный,گران,2
gereftār,занятый,گرفتار,2
hamkelāsi,одноклассник,همکلاسی,2
hamsāye,сосед,همسایه,2
hatman,обязательно,حتما,2
in,этот,این,2
Itāliyā,италия,ایتالیا,2
itāliāyi,итальянский,ایتالیایی,2
jahān,"мир, вселенная",جهان,2
jib,карман,جیب,2
jomhuri,республика,جمهوری,2
jonub,юг,جنوب,2
joqrāfiyā,география,جغرافیا,2
jozv(-e),"1. предлог между, среди 2. часть",جزو,2
kešvar,страна,کشور,2
kojā,"где, куда",کجا,2
kuh,гора,کوه,2
lāqar,тонкий,لاغر,2
ma’zerat mixāham,прошу прощения; извините,معذرت میخواهم,2
mantaqe,регион,منطقه,2
mas’uliyat,ответственность,مسئولیت,2
melliyat,национальность,ملیت,2
motālee,изучение,مطالعه,2
"moteassef budan (hast, bāš)","сожалеть, быть опечаленным",متاسف بودن,2
nām-e xānevādegi,фамилия,نامِ خانوادگی,2
Orupā,Европа,اروپا,2
ozr mixāham,прошу прощения; извините,عذر میخواهم,2
Pākestān,пакистан,پاکستان,2
panj,пять,پنج,2
pāytaxt,столица,پایتخت,2
porjam’iyat,густонаселенный,پرجمعیت,2
qadboland,высокий,قدبلند,2
qadimi,старый; старомодный; устаревший,قدیمی,2
qarār dāštan (dār),"находиться, располагаться, иметь встречу",قرار داشتن,2
qarb,Запад,غرب,2
qārre,континент,قاره,2
qermez,красный (ق___),قرمز,2
reštekuh,горная цепь,رشتکوه,2
rud,река,رود,2
šahr,город,شهر,2
sāl,год,سال,2
samimi,"искренний, близкий (о друге)",صمیمی,2
sargarmi,"1) занятие, увлечение 2) времяпрепровождение, развлечение",سرگرمی,2
šarq,Восток,شرق,2
šenāsnāme,свидетельство о рождении,شناسنامه,2
širini,кондитерские изделия,شیرینی,2
šomāl,север,شمال,2
surat,"случай, список, лицо",صورت,2
ta’til,"1) праздник 2) прекращение деятельности, простой",تعطیل,2
televiziyon,телевидение,تلویزیون,2
tišert,футболка,تیشرت,2
Tork,"турок, турецкий",ترک,2
Torkamanestān,туркменистан,ترکمنستان,2
Torkiye,Турция,ترکیه,2
xākandāz,совок для мусора,خاک‌انداز,2
xalij,залив,خلیج,2
xān,хан,خان,2
xānom,госпожа,خانم,2
xaste,уставший,خسته,2
Xāvar-e Miyāne,Ближний Восток,خاور میانه,2
xošbaxt,счастливый,خوشبخت,2
yek,один,یک,2
Žāpon,Япония,ژاپن,2
žāponi,"японский, японец",ژاپنی,2
zendegi,жизнь,زندگی,2
zibā,красивый,زیبا,2
āb,вода,آب,3
ābohavā,климат,آبهوا,3
āmadan (ā),прийти,آمدن,3
ārāyešgar,парикмахер,آرایشگر,3
āšpazi,готовка,آشپزی,3
aziyat kardan (kon),дразнить,اذیت کردن,3
bacce,ребенок,بچه,3
bāqce,огород,باغچه,3
bar dāštan (dār),принимать,بر داشتن,3
bar gaštan (gard),возвращение,بر گشتن,3
baxšidan (baxš),"1. дарить, давать 2. прощать",بخشیدن,3
besyār,очень,بسیار,3
bimārestān,больница,بیمارستان,3
bordan (bar),"взять, унести, выиграть",بردن,3
cand,сколько? несколько,چند,3
cekāre,кто? (по профессии),چکاره,3
ciz,вещь,چیز,3
dānešgāh,университет,دانشگاه,3
dar āvardan (āvar),"выносить, доставать, снимать (одежду)",در آوردن,3
dast,рука,دست,3
didan (bin),"смотреть, видеть",دیدن,3
didani,1. подлежащий просмотру 2. достопримечательность,دیدنی,3
eštebāhi,ошибочный,اشتباهی,3
form-e sabtenām,регистрационная форма,فرم ثبت‌نام,3
futbāl,футбол,فوتبال,3
garm,тёплый,گرم,3
gereftan (gir),"получить, принять",گرفتن,3
goftan (gu),говорить,گفتن,3
hameciz,все,همه‌چیز,3
hamiše,всегда,همیشه,3
havā,"воздух, погода",هوا,3
hayāt,двор,حیاط,3
honar,искусство,هنر,3
jāru kešidan (keš),развертка,جارو کشیدن,3
kār,работа,کار,3
kardan (kon),делать,کردن,3
kenār-e,"возле, около",کنارِ,3
kerāvāt,галстук,کراوات,3
komak,помощь,کمک,3
list,список,لیست,3
livān,"кубок, бокал",لیوان,3
ma’ruf,известный,معروف,3
mādarbozorg,бабушка,مادر بزرگ,3
mahalli,"отечественный, местный",محلی,3
ma’mulan,обычно; нормально,معمولا,3
māndan (mān),оставаться,ماندن,3
markaz,центр,مرکز,3
martub,влажный,مرطوب,3
me’mār,архитектор,معمار,3
mehmān,гость (م___),مهمان,3
mekānik,"механика, механик",مکانیک,3
mo’tadel,умеренный; мягкий,معتدل,3
mosābeqe,состязание,مسابقه,3
mosāferat,поездка,مسافرت,3
naqqāš,художник,نقاش,3
nemune,образец,نمونه,3
neveštan (nevis),запись,نوشتن,3
oftādan (oft),падать,افتادن,3
ostān,"область, регион",استان,3
otāq-e pazirāyi,гостиная,اتاقِ پذیرایی,3
pedarbozorg,дедушка,پدر بزرگ,3
por kardan (kon),заполнить,پر کردن,3
porsidan (pors),спросить,پرسیدن,3
qal’e,замок,قلعه,3
qazā,еда,غذا,3
qesse,рассказ,قصه,3
rafiq,товарищ,رفیق,3
"raftan (rav, row)",идти,رفتن,3
rāsti,кстати,راستی,3
resāndan (resān),"передавать, брать с собой",رساندن,3
rixtan (riz),лить,ریختن,3
rustā,деревня,روستا,3
ruznāmenegār,журналист; публицист,روزنامنگار,3
šab,вечер,شب,3
sabr,терпение,صبر,3
sābun,мыло,صابون,3
sar,голова,سر,3
sarsabz,зеленый,سرسبز,3
"šodan (šav, šow)",стать,شدن,3
sohbat kardan (kon),говорить,صحبت کردن,3
šostan (šu),мыть,شستن,3
šowhar,муж,شوهر,3
tamāšā kardan (kon),смотреть,تماشا کردن,3
tamiz,"чистый, опрятный",تمیز,3
tanhā,"один, в одиночку",تنها,3
ta’rif kardan (kon),сказать; определить; похвалить,تعریف کردن,3
vakil,адвокат,وکیل,3
vali,"но, однако",ولی,3
xāndan (xān),"читать, изучать, петь",خواندن,3
xānevāde,семья,خانواده,3
xarid,покупки,خرید,3
xaridan (xar),купить,خریدن,3
yād,память,یاد,3
yekkam,немного,یککم,3
zan,"женщина, жена",زن,3
ādine,пятница,آدینه,4
ādres,адрес,آدرس,4
adviye,специи,ادویه,4
albatte,конечно,البته,4
ālude,грязный,آلوده,4
āmādegi,готовность,آمادگی,4
ān,тот,آن,4
ānjā,"там, туда",آنجا,4
ārāyešgāh,парикмахерская,آرایشگاه,4
āsān,лёгкий,آسان,4
ātaš,огонь,آتش,4
bāhuš,способный,باهوش,4
baste,посылка,بسته,4
bāzār,рынок,بازار,4
borj,башня,برج,4
buq,рог,بوق,4
cāhārpā,четвероногий,چاهارپا,4
cāhāršanbe,среда,چهارشنبه,4
ce,что,چه,4
cešm,глаз,چشم,4
dādan (deh),дать,دادن,4
dādgāh,суд,دادگاه,4
dāmane,домен,دامنه,4
dāneškade,"институт, факультет",دانشکده,4
dānešmand,ученый,دانشمند,4
darmāngāh,клиника,درمانگاه,4
darre,долина,دره,4
dars xāndan (xān),"изучать, учиться",درس خواندن,4
daryāce,озеро,دریاچه,4
delpazir,приятный; прекрасный,دلپذیر,4
deraxt,дерево,درخت,4
došanbe,понедельник,دوشنبه,4
emtehān gereftan (gir),провести экспертизу,امتحان گرفتن,4
eškāl,ошибка; недостаток,اشکال,4
eski,"лыжа, лыжный спорт",اسکی,4
farš,ковровое покрытие,فرش,4
gerānbahā,драгоценный; ценный,گرانبها,4
hamejā,везде,همجا,4
jadid,новый; современный,جدید,4
jāleb,интересный,جالب,4
javāherāt,ювелирные изделия,جواهرات,4
jom’e,пятница,جمعه,4
jonubi,южный,جنوبی,4
kalāntari,полицейский участок,کلانتری,4
kam,мало,کم,4
kamābiš,почти,کمابیش,4
kār kardan (kon),"работать, функционировать",کار کردن,4
kārxāne,"фабрика, завод",کارخانه,4
kāxmuze,музей дворца,کاخ موزه,4
ke,"кто, который",که,4
kešāvarz,фермер,کشاورز,4
kucak,маленький,کوچک,4
kuce,улица (маленькая),کوچه,4
mahal(l),местоположение; место,محل,4
mard,мужчина,مرد,4
mardom,люди,مردم,4
matab,поликлиника,مطب,4
mehmānnavāz,гостеприимный,مهمان‌نواز,4
mellat,нация,ملت,4
melli,национальный,ملی,4
miz,стол,میز,4
mohem(m),важный; существенный,مهم,4
monāseb,"подходящий, уместный",مناسب,4
monši,секретарь,منشی,4
moškel,трудный,مشکل,4
moteassefāne,к сожалению,متاسفانه,4
muze,музей,موزه,4
nāšenās,"чуждый, неизвестный",ناشناس,4
nasim,легкий ветер,نسیم,4
nešān,"знак, указатель",نشان,4
nešāni,адрес,نشانی,4
nesbatan,относительно,نسبتا,4
niz,также,نیز,4
noqre,"серебро, серебряны",نقره,4
oqyānus,океан,اقیانوس,4
panjšanbe,четверг,پنجشنبه,4
parande,птица,پرنده,4
pārce,ткань,پارچه,4
pāsox,ответ,پاسخ,4
pelāk,"табличка, номер дома",پلاک,4
qābeledidan,видимый,قابلدیدن,4
"qabul šodan (šav, šow)",проходить (проверку),قبول شدن,4
qafase,полка,قفس,4
qāli,ковровое покрытие,قالی,4
resturān,ресторан,رستوران,4
ruz,день,روز,4
šanbe,суббота,شنبه,4
sandali,стул,صندلی,4
saqf,потолок,سقف,4
sarmā,"холод, мороз",سرما,4
saxre,скалы,صخره,4
saxtgir,строгий,سختگیر,4
sešanbe,вторник,سه شنبه,4
seyl,наводнение,سیل,4
sobh,утро,صبح,4
šomāre,номер (порядковый),شماره,4
tā,штука,تا,4
ta’mirgāh,"местерская, цех",تعمیرگاه,4
tābestān,лето,تابستان,4
tafrih,удовольствие; развлечение,تفریح,4
talā,золото,طلا,4
taqriban,почти,تقریبا,4
tarsidan (tars),бояться,ترسیدن,4
tāzi,"араб, арабский",تازی,4
telefon,телефон,تلفن,4
telekābin,лифт; подъемник,تلکابین,4
tufān,шторм,طوفان,4
vaqt,время,وقت,4
vojud dāštan (dār),существовать,وجود داشتن,4
xāreji,иностранец,خارجی,4
xāstan (xāh),"желать, требовать",خاستن,4
xatarnāk,опасно,خطرناک,4
xiyābān,улица,خیابان,4
xonak,прохладный,خنک,4
xoškbār,сухофрукты,خشکبار,4
xungarm,"1. отзывчивый 2. горячий, темпераментный",خونگرم,4
yekšanbe,воскресенье,یکشنبه,4
zendegi kardan (kon),жить,زندگی کردن,4
zerang ,"проворный, смышлёный",زرنگ ,4
ziyād,много,زیاد,4
ādam,человек,آدم,5
ādāms,жевательная резинка,آدامس,5
āhang,песня; музыка; мелодия,آهنگ,5
āqāz,начало (آ___),آغاز,5
āšnāyi,"представление, знакомство",آشنایی,5
ātašbāzi,фейерверк,آتشبازی,5
avval,"первый, начало",اول,5
avvalin,первый,اولین,5
āxar,конец; последний,آخر,5
bahār,весна,بهار,5
barābar,"равный, одинаковый",برابر,5
barg,лист (на дереве),برگ,5
bāstāni,древний,باستانی,5
baxš bar,разделенный на,بخش بر,5
be alāve-ye,в дополнение к; плюс,به علاوهٔ,5
be ezāfe-ye,в дополнение к; плюс,به اضافهٔ,5
"be pišvāz raftan (rav, row)",добро пожаловать,به پیشواز رفتن,5
beviže,в частности; особенно,بویژه,5
bištar,более,بیشتر,5
candom,какой по счёту?,چندم,5
candomin,какой по счёту?,چندمین,5
cekār,что (делать)?,چکار,5
dāne,зерно,دانه,5
dastejam’i,"общий, совместный",دست‌جمعی,5
derāz,длинный,دراز,5
derāzi,длина,درازی,5
didobāzdid,посещение и ответный визит,دیدبازدید,5
digar ,"другой, (по)следующий",دیگر ,5
dorost,"правильный, правильно",درست,5
dotāyi,двойной,دوتایی,5
dowr-e,вокруг,دور,5
eyd,праздник (ع___),عید,5
eydi,новогодний подарок,عیدی,5
farvand,счетное слово для самолётов,فروند,5
farzand,ребенок (сын или дочь),فرزند,5
fasl,сезон,فصل,5
foruxtan (foruš),продавать,فروختن,5
gāh-i,иногда,گاهی,5
gardeš,1) прогулка 2) поворот,گردش,5
gāv,"корова, бык",گاو,5
gozarāndan (gozarān),тратить,گذراندن,5
gusfand,овца,گوسفند,5
hafte,неделя,هفته,5
hame,"все, всё",همه,5
hamegāni,общий; общественный,همگانی,5
havāpeymā,самолет,هواپیما,5
hengām(-e),время; в то время как,هنگام,5
jānevar,животное; живое существо,جانور,5
jašn,праздник (ج___),جشن,5
javān,"молодой, юноша",جوان,5
jeld,"футляр, чехол",جلد,5
joft,пара,جفت,5
jurāb,"носки, чулки",جوراب,5
kafš,обувь,کفش,5
kebrit,спичка,کبریت,5
kodām,который,کدام,5
kohne,старый (предмет),کهنه,5
kotšalvār,костюм,کتشلوار,5
kuhnavardi,горные виды спорта; альпинизм,کوهنوردی,5
madrese,школа,مدرسه,5
magar,разве,مگر,5
māh,месяц,ماه,5
mazrae,с\х поле,مزرعه,5
menhā-ye,минус,منهای,5
mive,фрукты,میوه,5
mobl,"мебель, предмет мебели",مبل,5
nafar,человек (ن___),نفر,5
nāme,письмо,نامه,5
nān,хлеб,نان,5
nešastan (nešin),"сидеть, садиться",نشستن,5
now,новый,نو,5
noxost,первый; во-первых,نخست,5
noxostin,первый,نخستین,5
omr,жизнь,عمر,5
paridan (par),прыгать; летать,پریدن,5
pas,"тогда, итак",پس,5
pāyiz,осень,پاییز,5
pir,старый (человек),پیر,5
pirāhan,"рубашка, платье",پیراهن,5
qabl,последний; предыдущая; бывший; назад,قابل,5
ra’s,"1) счетное слово для животных 2) вершина, остриё",راس,5
radif,ряд,ردیف,5
ru,лицо,رو,5
rubusi kardan (kon),обнимать-целовать,روبوسی کردن,5
sabze,зелень,سبزه,5
sālem,здоровый,سالم,5
sālruz,юбилей,سالروز,5
sāltahvil,момент смены года,سالتهویل,5
šalvār,штаны,شلوار,5
sarbāz,солдат,سرباز,5
sard,холодный,سرد,5
sekke,монета,سکه,5
senjed,"бот. лоховое дерево, облепиха",سنجد,5
serke,уксус,سرکه,5
sešanbešab,вторник ночью,سشنبشب,5
sib,яблоко,سیب,5
sigār,сигарета,سیگار,5
sir,чеснок,سیر,5
sofre,скатерть,سفره,5
šokolāt,шоколад,شکلات,5
šokufe dādan (deh),цвести,شکوفه دادن,5
somāq,бот. сумах (кустарник),سماق,5
šoru’,начало,شروع,5
sorxi,покраснение,سرخی,5
ta’tilāt,"каникулы, отпуск",تعطیلات,5
tabrik goftan (gu),поздравлять,تبریک گفتن,5
tamām,конец,تمام,5
tamizi,чистота,تمیزی,5
tan,тело,تن,5
taqsim bar,разделенный на,تقسیم بر,5
term,семестр,ترم,5
tiq,лезвие,تیغ,5
toxmemorq,яйцо,تخممرق,5
vasāyel,"вещи, принадлежности",وسایل,5
viže,"особенный, спциальный",ویژه,5
xānetekāni,уборка дома,خانه‌تکانی,5
xatkeš,правитель,ختکش,5
yā,или,یا,5
ya’ni,а именно; “т.е.”,یعنی,5
yekdigar,друг друга,یکدیگر,5
zamin,земля,زمین,5
zarb dar,умноженное на,ضرب در,5
zard,желтый,زرد,5
zarf,контейнер; оболочка,ظرف,5
zemestān,зима,زمستان,5
āmāde kardan (kon),подготовить,آماده کردن,6
andāxtan (andāz),бросать,انداختن,6
ātaškade,огненный храм,آتشکده,6
āvardan (āvar),приносить,آوردن,6
aziz,дорогой,عزیز,6
azjomle,в том числе; включая,ازجمله,6
ba’d,следующий; затем; после того,بعد,6
banā,здание (ب___),بنا,6
bar farāz-e,"выше, над",بر فرازِ,6
cāhārrāh,перекресток,چاهارراه,6
cap,левый,چپ,6
cerā,почему,چرا,6
cerāq-e rāhnamāyi,светофор,چراغِ راهنمایی,6
con,"так как, потому что",چون,6
cubi,деревянный,چوبی,6
dalil,причина,دلیل,6
dām,западня,دام,6
daqiqe,минута,دقیقه,6
dārā budan (hast; bāš),"иметь, обладать",دارا بودن,6
daraje,"степень, звание",درجه,6
dir,"поздний, поздно",دیر,6
dowr zadan (zan),"поворачиваться, оборачиваться",دور زدن,6
entehā,конец,انتها,6
estesnāan,исключительно,استثنائا,6
e’temād,доверие; уверенность,اعتماد,6
fer,1) печь 2) кудри,فر,6
ferizer,морозилка,فریزر,6
garm kardan (kon),"согревать, разогревать",گرم کردن,6
gaštan (gard),"искать, поворачивать",گشتن,6
gol,цветок,گل,6
gozāštan (gozār),"положить, поставить, оставить",گذاشتن,6
haminjā,прямо здесь,همینجا,6
harārat,"теплота, температура",حرارت,6
harekat,движение; отъезд,حرکت,6
hotel,отель,هتل,6
injā,"здесь, сюда",اینجا,6
jahāngard,турист,جهانگرد,6
jāme’,"полный, комплексный",جامع,6
lahje,акцент; диалект,لهجه,6
lotfan,пожалуйста,لطفا,6
makān,"место, местоположение",مکان,6
maqāle,"статья, сообщение",مقاله,6
masjed,мечеть,مسجد,6
me’māri,архитектура,معماری,6
meydān,площадь,میدان,6
miyān,среди; середина,میان,6
moddat,"срок, продолжительность, время",مدت,6
mojassamesāzi,скульптура,مجسمسازی,6
monabbatkāri,резьба по дереву,منبت‌کاری,6
monhaserbefard,уникальный,منحصربه‌فرد,6
montazer māndan (mān),всё ещё ждать,منتظر ماندن,6
mostaqim ,"прямой, непосредственный",مستقیم ,6
na,нет,نه,6
nārāhat,"обеспокоенный, озабоченный",ناراحت,6
nareside,1) прежде 2) незрелый,نرسیده,6
nazdik,близкий,نزدیک,6
negarān,беспокоющийся,نگران,6
nimevaqt,частичная занятость,نیموقت,6
omumi,"общий, общественный, публичный",عمومی,6
otu kešidan (keš),железо,اطو کشیدن,6
pāšidan (pāš),"спрыскивать, посыпать",پاشیدن,6
pellekāni,зазубренный,پلکانی,6
picidan (pic),"обернуть, завернуть",پیچیدن,6
pitzā,пицца,پیتزا,6
pitzā-ye hāzeri,готовая пицца,پیتزای حاضری,6
pušeš,обложка,پوشش,6
pušidan (puš),носить (одежду),پوشیدن,6
qabl az,до (о времени),قبل از,6
qabul kardan (kon),принимать,قبول کردن,6
rāst,правый,راست,6
rowšan,светлый,روشن,6
ruyehamrafte,"в целом, вместе",روی‌هم‌رفته,6
šād,"счасливый, радостный",شاد,6
šāh,"шах, царь",شاه,6
šām,ужин,شام,6
samt,направление; сторона; путь,سمت,6
sar-e,"на, по",سرِ,6
serāhi,разветвление,سراهی,6
šomāli,северный,شمالی,6
sonnat,традиция,سنت,6
sonnati,традиционный; обычный; классический,سنتی,6
sorx,красный,سرخ,6
sorxrang,красный цвет,سرخرنگ,6
šowharamme,"дядя, муж сестры отца",شوهر عمم,6
šowharxāle,"дадя, муж сестры матери",شوهر خاله,6
tārixi,исторический,تاریخی,6
tavallod,рождение,تولد,6
tekān xordan (xor),движение,تکان خوردن,6
tu,в; внутри,تو,6
tul kešidan (keš),последний,طول کشیدن,6
vižegi,"свойство, особенность",ویژگی,6
vorudmamnu’,улица с односторонним движением,ورود ممنوع,6
xabar dādan (deh),уведомлять,خبر دادن,6
xāheš kardan (kon),просить,خواهش کردن,6
xāk,"земля, пыль",خاک,6
xalabān,пилот,خلبان,6
xānande,"певец, чтец",خواننده,6
xordan (xor),есть,خوردن,6
xoruji,выход,خروجی,6
yād gereftan (gir),учиться,یاد گرفتن,6
yāddāšt,примечание,یاداشت,6
yāftan (yāb),найти; открыть,یافتن,6
yaxcāl,холодильник,یخچال,6
yektarafe,односторонний,یکطرفه,6
zanamu,"тётя, жена брата отца",زن‌عمو,6
zandāyi,"тётя, жена брата матери",زن‌دایی,6
ādāb,этикет,آداب,7
aksariyat,большинство,اکثریت,7
al’ān,теперь; в настоящее время,الان,7
aqalliyat,меньшинство,اقلیت,7
aqlab,часто,اغلب,7
aqlab-e,больше всего; большая часть,اغلبِ,7
aqrabe,указатель,عقربه,7
aqvām,родственники,اقوام,7
Arab,"араб, арабский",عرب,7
ārāmeš,"покой, спокойствие",آرامش,7
āri,да (آ___),آری,7
armani,армянин,ارمنی,7
arusi,свадьба,عروسی,7
āryāyi,"ариец, арийский",آریایی,7
āšnā,знакомый,آشنا,7
asr,"эпоха, век",عصر,7
āšti,примирения; мир,آشتی,7
āšuri,"ассириец, ассирийский",آشوری,7
ba’dazzohr,после полудня,بعدازظهر,7
ba’z-i,некоторые,بعض‌ای,7
bār,1) раз 2) багаж,بار,7
bargašt,возвращение,برگشت,7
barx-i az,некоторые,برخی از,7
barx-i,некоторые,برخی,7
behtar,лучше,بهتر,7
besyār-i,многие,بسیار‌ای,7
"bidār šodan (šav, šow)",просыпаться,بیدار شدن,7
bištar-e,больше всего; большая часть,بیشتر,7
candin,много,چندین,7
candšanbe,какой день недели?,چندشنبه,7
cetowr magar,почему,چطور مگر,7
dānestan (dān),знать,دانستن,7
daqiqešomār,минутная стрелка,دقیقشمار,7
dars,урок,درس,7
dars dādan (deh),научить,درس دادن,7
daste,"группа, множество, пучок",دست,7
"davidan (dav, dow)",бежать,دویدن,7
donyā,"мир, вселенная",دنیا,7
dur,"далекий, далеко",دور,7
duš,1) душ 2) плечо,دوش,7
e’temād kardan (kon),"доверять, полагаться",اعتماد کردن,7
emruze,в наше время,امروزه,7
esterāhat kardan (kon),отдых,استراحت کردن,7
farhang,"культура, словарь",فرهنگ,7
fekr kardan (kon),думать,فکر کردن,7
film-e sinamāyi,художественный фильм,فیلمِ سینمایی,7
gorji,"грузин, грузинский",گرجی,7
gozašte,"последний, прошедший, предыдущий",گذشته,7
gunāgun,разнообразный,گوناگون,7
hamān,тот самый,همان,7
hamekas,каждый; все,همکس,7
hamin,этот самый,همین,7
har,каждый,هر,7
harciz,"всё, что-нибудь",هرچیز,7
harjā,"везде, где-нибудь",هرجا,7
harkas ,"все, кто-нибудь",هرکس ,7
harkodām,"каждый, любой",هرکدام,7
haryek,каждый,هریک,7
hic,"ничего, ни один",هیچ,7
hicjā,нигде,هیچجا,7
hickas,никто,هیچکس,7
hickodām,никакой,هیچکدام,7
jā,место,جا,7
jašn-e tavallod,день рождения,جشنِ تولد,7
jur,"1) вид, тип 2) подходящий",جور,7
kas,человек,کس,7
konsert,концерт,کنسرت,7
ma’mulan,обычно,معمولا,7
ma’ni,"значение, смысл",معنی,7
masihi,"христианин, христианский",مسیحی,7
mazhabi,религиозная,مذهبی,7
momken,возможный,ممکن,7
morur,"повторение, пересмотр",مرور,7
mosalmān,"мусульманин, мусульманский",مسلمان,7
moxtalef,"разный, различный",مختلف,7
nāhār,обед,ناهار,7
narmeš,гимнастика,نرمش,7
nešān dādan (deh),шоу,نشان دادن,7
nežād,"порода, происхождение",نژاد,7
nim,половина (-م),نیم,7
Pārs,Персия,پارس,7
pārsi,"перс, персидский",پارسی,7
paxš-e mostaqim,прямая трансляция,پخشِ مستقیم,7
peydā kardan (kon),найти,پیدا کردن,7
rasmi,официальный,رسمی,7
